Start date,End date,SKU,SKU ID,Total usage,(unit),Cost ($),Discount ($),Subtotal ($)
2025-04-18T00:00:00.000Z,2025-04-19T00:00:00.000Z,Vivox Voice Services Standard,VIV-VOI-SER-STD,0,Peak Concurrent Users,0,0,0
2025-04-19T00:00:00.000Z,2025-04-20T00:00:00.000Z,Vivox Voice Services Standard,VIV-VOI-SER-STD,0,Peak Concurrent Users,0,0,0
2025-04-20T00:00:00.000Z,2025-04-21T00:00:00.000Z,Vivox Voice Services Standard,VIV-VOI-SER-STD,0,Peak Concurrent Users,0,0,0
2025-04-21T00:00:00.000Z,2025-04-22T00:00:00.000Z,Vivox Voice Services Standard,VIV-VOI-SER-STD,0,Peak Concurrent Users,0,0,0
2025-04-22T00:00:00.000Z,2025-04-23T00:00:00.000Z,Vivox Voice Services Standard,VIV-VOI-SER-STD,0,Peak Concurrent Users,0,0,0
2025-04-23T00:00:00.000Z,2025-04-24T00:00:00.000Z,Vivox Voice Services Standard,VIV-VOI-SER-STD,0,Peak Concurrent Users,0,0,0
2025-04-24T00:00:00.000Z,2025-04-25T00:00:00.000Z,Vivox Voice Services Standard,VIV-VOI-SER-STD,0,Peak Concurrent Users,0,0,0
2025-04-25T00:00:00.000Z,2025-04-26T00:00:00.000Z,Vivox Voice Services Standard,VIV-VOI-SER-STD,0,Peak Concurrent Users,0,0,0
